filename,width,height,class,xmin,ymin,xmax,ymax
0AYZZM.jpeg,600,800,milk,142,27,504,800
0LEL9R.png,558,497,banana,63,139,485,301
1BJ71K.jpg,558,558,banana,238,86,484,481
1G22L6.jpg,558,418,banana,17,39,154,403
1IX74X.jpg,558,255,banana,50,3,443,245
1K0282.jpg,558,347,banana,244,149,501,291
1TYAUX.jpg,558,1293,milk,71,32,510,1276
1X6Y6L.jpg,558,437,banana,40,40,522,272
28LKFV.jpg,558,752,milk,246,42,531,713
28LKFV.jpg,558,752,milk,25,27,278,720
29ES2S.jpg,558,850,milk,99,2,413,824
2AA74Q.jpg,558,291,banana,1,46,229,217
2AA74Q.jpg,558,291,banana,285,34,453,291
2PRPY4.jpg,558,558,banana,96,143,512,496
2Q3E7T.jpg,558,558,banana,15,100,551,481
2RWOZS.jpg,558,558,milk,219,137,336,417
35X86T.jpg,558,558,banana,165,118,412,512
3SKOJH.jpg,558,435,banana,293,261,558,357
3UC2KM.jpg,558,836,milk,91,59,454,773
3YM297.jpg,558,372,banana,31,34,526,318
3ZI98U.jpg,558,558,banana,25,24,530,505
41ZTCY.jpg,558,315,milk,47,1,302,305
49I438.jpg,558,558,banana,19,3,550,534
4AT6UN.jpg,558,785,milk,85,18,443,760
4YZQYS.jpg,558,399,banana,125,17,516,179
56S9WE.jpg,558,823,banana,24,43,458,718
570A12.jpg,558,947,banana,12,35,551,920
5ZLOBK.jpg,558,757,milk,36,35,454,711
66UX2D.jpg,558,740,milk,111,70,387,705
6KZIJW.jpg,558,313,banana,199,51,304,313
6NPAS3.jpg,558,413,banana,69,8,482,326
6RNJCR.jpg,558,596,milk,81,23,312,530
6WPVRJ.jpg,558,279,milk,124,1,208,257
77OZ2R.jpg,558,558,banana,93,17,525,438
7P9UGC.jpg,558,558,banana,170,1,382,548
7RA04G.jpg,558,569,banana,98,109,292,414
7T6M40.jpg,558,558,milk,182,42,352,513
8PWM00.jpg,558,313,banana,53,39,462,255
8T7FMH.jpg,558,558,milk,208,58,322,309
9J8LI1.jpg,558,372,milk,111,1,237,306
9MES3L.jpg,558,372,banana,202,55,275,293
9MES3L.jpg,558,372,banana,270,192,491,312
9TQASJ.jpg,558,313,banana,1,63,557,312
AEWGG8.jpg,558,372,banana,46,47,497,333
AQHLF7.jpg,558,558,banana,7,135,526,367
ASKTYX.jpg,558,372,banana,83,78,521,333
ASRKN0.jpg,558,804,milk,115,18,423,783
BDRUMI.jpg,558,493,milk,67,20,260,459
BDRUMI.jpg,558,493,milk,309,28,509,469
BWPHOE.png,558,631,milk,206,99,353,431
BWPHOE.png,558,631,milk,337,98,483,422
BWPHOE.png,558,631,milk,80,86,140,404
C3UA2D.jpg,558,334,banana,81,9,483,312
C5CFYF.jpg,558,837,milk,44,12,330,797
CTGIHE.jpg,558,313,banana,46,1,414,313
D5W0TW.jpg,558,381,banana,147,183,341,301
D5W0TW.jpg,558,381,banana,340,188,558,307
D6XRHA.jpg,558,351,banana,4,171,252,326
D8E80W.jpg,558,770,banana,13,143,555,623
DKQ1C4.jpg,558,372,banana,343,169,384,364
DKQ1C4.jpg,558,372,banana,272,186,333,363
DKQ1C4.jpg,558,372,banana,1,186,34,371
DKQ1C4.jpg,558,372,banana,188,177,249,354
DKQ1C4.jpg,558,372,banana,105,171,179,360
DKQ1C4.jpg,558,372,banana,385,168,426,363
DKQ1C4.jpg,558,372,banana,483,163,524,358
EC804S.jpg,558,558,banana,90,48,364,500
EMW80X.jpg,558,372,banana,319,108,513,207
F23Q76.jpg,558,313,banana,170,32,535,233
H182GU.jpg,558,313,banana,207,73,472,233
H182GU.jpg,558,313,banana,283,1,554,140
HRUN78.jpg,558,313,banana,58,1,475,305
RZ8669.jpg,558,371,rice,129,59,405,324
SQMLNO.jpg,558,558,rice,29,228,546,485
STLYRJ.jpg,558,418,rice,287,39,531,184
STLYRJ.jpg,558,418,rice,3,199,157,291
TJYRAN.jpg,558,402,rice,73,52,469,351
U9XRMD.jpg,558,418,rice,23,29,513,374
UGCAD5.jpg,558,705,rice,135,106,446,274
UGCAD5.jpg,558,705,rice,195,501,495,635
UGUC3B.jpg,558,558,rice,277,146,558,350
UI7M65.jpg,558,558,rice,118,70,424,225
UVZ6GK.jpg,558,348,rice,117,100,437,327
UYI4YS.jpg,558,372,rice,328,130,486,281
VJ94OP.jpg,558,313,rice,1,113,470,313
VNPIKC.jpg,558,314,rice,185,50,432,189
VNPIKC.jpg,558,314,rice,130,271,404,314
VO8IXB.jpg,558,558,rice,74,195,436,456
VSXFQ8.jpg,558,312,rice,112,17,435,251
W0YY3G.jpg,558,314,rice,248,13,526,209
W0YY3G.jpg,558,314,rice,13,126,250,308
WMYSZ6.jpg,558,837,rice,91,225,382,321
WMYSZ6.jpg,558,837,rice,58,595,179,657
WMYSZ6.jpg,558,837,rice,221,573,428,657
WRO3AD.jpg,558,483,rice,28,34,551,374
XMD7LA.jpg,558,409,rice,38,210,538,331
XPD62L.jpg,558,558,rice,77,79,493,473
XVMANQ.jpg,558,418,rice,21,24,531,376
Y1EV66.jpg,558,371,rice,87,100,410,184
Z8TM62.jpg,558,457,rice,106,9,520,411
ZCV48X.jpg,558,372,rice,51,176,382,314
ZCV48X.jpg,558,372,rice,253,84,478,176
ZG37RD.png,558,361,rice,42,33,343,130
ZG37RD.png,558,361,rice,49,199,301,331
ZYXM0W.jpg,558,558,rice,33,99,541,476
